gene_name,locus,"fitness_HC, HL","fitness_HC, IL","fitness_HC, LL","fitness_HC, LL, -N","fitness_HC, LL, +FL","fitness_HC, LL, +G","fitness_LC, IL","fitness_LC, LL","fitness_LC, LL, +D, +G","fitness_LC, LL, +FL","fitness_LC, LL, +G","padj_HC, HL","padj_HC, IL","padj_HC, LL","padj_HC, LL, -N","padj_HC, LL, +FL","padj_HC, LL, +G","padj_LC, IL","padj_LC, LL","padj_LC, LL, +D, +G","padj_LC, LL, +FL","padj_LC, LL, +G"
glgP,slr1367,-0.6618448386152875,-1.4012079416548489,-1.198383589913354,-1.935038068697271,-1.2133989866633512,-0.7303033443302389,-0.986778900690211,-0.6236841380099768,-0.010941843482839409,-1.3632304348082147,-0.7305865453497348,0.8700344634508764,0.04776881289120013,0.026834114815432804,0.004674107951401031,0.03931577875261772,0.28327828246284265,0.008787316681921611,0.9355589636104048,0.9388878448032021,0.0055424149510450525,0.31670347749225003
slr1376,slr1376,-0.5797719594288546,0.06807608550885107,0.005965556551081871,-0.29493667319888944,-0.20741655025878644,-0.012416786275889324,-0.37522605388605706,-0.4969202466079209,0.078485544472752,-0.8057518970714987,0.23507641764368678,0.01944318249729673,0.9174023220979746,0.7502250748351629,0.1727393450920185,0.14796928914985336,0.6067313207491104,0.08035228169644555,0.016038769790272838,0.9274264466401455,0.006875266817365047,0.23751194165047143
lepB2 slr1377,slr1377,-5.364964743443624,-3.6632483465757,-4.249825831667246,-4.360207196015082,-4.4706051869565355,-3.2447835156858504,-4.295004429822607,-4.424453794460724,-3.078297187118131,-4.5916889289094955,-3.7922317789103905,0.00574084884857631,0.37884539477218737,0.47256472915522485,0.2967310743379411,0.021885404447421573,0.04546233209870064,0.6320742105467932,0.006456141270656163,0.3543015242263627,0.5078860403372945,0.01446824738845218
slr1378,slr1378,-1.9491486409118304,-2.9946249594628522,-3.891725381945227,-3.9550124476612267,-3.216171363191712,-2.3687773986397764,-4.795403135618321,-3.1545386297250477,-2.2624539784075974,-5.613286961708373,-2.969675040147851,0.005441104587855381,0.0043484734210247535,0.004802400229298382,0.004674107951401031,0.004671615909328382,0.004920391531405003,0.0046234741971317795,0.004453316100481262,0.004513548579747765,0.004700433867676903,0.0037293329286874413
ftsH1 slr1390,slr1390,-4.2768892580779285,-3.5359491357799118,-4.205449888905483,-3.8057943774020395,-3.4931063664477047,-4.997037081200431,-4.149672408664874,-5.472171342641639,-3.866235487455727,-5.429299603797479,-4.405252495460915,0.004020937266418331,0.004668015706843546,0.4493443173669763,0.18253189879547893,0.8743714698558301,0.0038861357297089037,0.6056747612796463,0.004453316100481262,0.0039036595260570415,0.030987527546602556,0.0037293329286874413
slr1394,slr1394,-3.419718908109315,-2.6273179525383115,-1.90480224367343,-2.4121318981276962,-2.263825772028086,-2.503269228971267,0.5821074909374432,-3.034656626152518,-2.8963274985750442,0.5476664888500341,-2.2657601933248896,0.04070671022037001,0.04776881289120013,0.00993934499713399,0.04462567225356515,0.031939466407527053,0.017891043160202704,0.9679914470039143,0.006278468692859098,0.01297741484912477,0.8714774360758969,0.06422160181564321
slr1411,slr1411,-0.9064696450635419,-1.4390529181795586,-1.6842808548252377,-1.087373686510445,-1.7633428636894166,-1.2804392671862195,0.37255950670266064,-1.0718286677064484,-2.01536682642007,0.07305092278524403,-0.9491555130455032,0.9208410939224626,0.45195451994949315,0.14209576662962337,0.23540812911401165,0.09142776550109719,0.03736023734490128,0.5013172158469983,0.15789483309288813,0.0064733950414772486,0.9619738658641633,0.17838139872436182
pyrD slr1418,slr1418,-1.566224855019007,-1.3192361255791618,-0.583024358221202,-0.970128760697378,-0.8697063183888714,-1.7831370287471604,-0.4002354109567227,-0.4707769570305513,-1.0180747405195627,-0.024610356638261582,-1.5898911156931885,0.005944155848476314,0.009298862453874396,0.23118273802532394,0.18253189879547893,0.14796928914985336,0.013841943214792396,0.42578229032954845,0.1293524571776753,0.07435415497420537,0.9520832492884291,0.01841746535371909
slr1419,slr1419,-1.4257960357041721,-3.4039529517564486,-3.2736405478201247,-3.505752728455619,-3.501530905826236,-1.921149189078288,-4.752862429351108,-3.220757848778005,-1.673883701942736,-4.829043403702798,-2.3571540021236608,0.038022475974663926,0.02053232342556854,0.01986056086210856,0.0725002948352602,0.03281407994476604,0.01727525683666735,0.03668224404258842,0.025690352670536064,0.021616377669901293,0.008301176309220537,0.09109204418857833
slr1421,slr1421,-2.366346669161004,-2.3071568519010612,-2.8917879854171615,-2.841104588487757,-2.019275609197719,-2.248116586510341,-4.344746487797851,-2.9133067680024323,-2.7757636968796584,-4.718731341947823,-2.161894305427835,0.36607669837438034,0.10229111036205948,0.5494910648623116,0.02645540949575863,0.24623816508371335,0.15988199546442944,0.0046234741971317795,0.011237174741037415,0.12793720370177683,0.004700433867676903,0.5799705882786674
