reaction_id,condition,flux_mmol_gDCW_h_FBA
UAAGDS,succinate,0.015883278363091
AMID2,succinate,0
TAUDO,succinate,0
THRtr,succinate,0
AMDS6,succinate,0
ACPCD,succinate,0
HMR_7756,succinate,0
AMDS3,succinate,0
2HISOPD,succinate,0
AMDS2,succinate,0
CADVt,succinate,0
TMPPP,succinate,0.003319605177886
NPPDO,succinate,0
HACD1,succinate,0
HACD2,succinate,0
HACD4,succinate,0
3HBCDH,succinate,0
DURIt2,succinate,0
GLYCLTt2r,succinate,0
G6PDA,succinate,0
UDPG4E1,succinate,0
PUNP7,succinate,0
ALATA_D2,succinate,0
PUNP6,succinate,0
PUNP5,succinate,0
PUNP4,succinate,0
PAPPT3,succinate,0.015883278363091
PROt4,succinate,0
3HBD,succinate,0
PUNP3,succinate,0
PUNP2,succinate,0
PUNP1,succinate,0
FBMO2,succinate,0
FBMO1,succinate,0
DHPPRAP,succinate,0.003049589445713
HMDPPK,succinate,0
HPPPNt2r,succinate,0
PNTK,succinate,0.001151537681324
LCADi,succinate,0
CBPS,succinate,0.123078994592979
FBMO6,succinate,0
PNTOK2,succinate,0
FBMO5,succinate,0
PNTOK3,succinate,0
HDCAt2,succinate,0
FBMO3,succinate,0
DSERt2,succinate,0
FBMO9,succinate,0
FBMO8,succinate,0
DAPDC,succinate,0.034021982253741
FBMO7,succinate,0
UAGDP,succinate,0.105934848649165
NO2t2r,succinate,0
METabc,succinate,0
CDPGD,succinate,0
TOLabc,succinate,0
AMAOTr,succinate,0
UPP3MT,succinate,0
DAAD,succinate,0
PRGCS,succinate,0.028486130301596
MNLpts,succinate,0
SERt4,succinate,0
OCOAT1m,succinate,0
UPPRT,succinate,0
LDHm,succinate,0
GAMpts,succinate,0
PPCK,succinate,1.2022200313346
ASPAM1,succinate,0
BZACCOAT,succinate,0
ASPAM2,succinate,0
ASPAM3,succinate,0
ASPAM4,succinate,0
AAATT,succinate,0
ASPt2_3,succinate,0
MALTPTabc,succinate,0
ACHBS,succinate,0.055083209363199
ASPt2_2,succinate,0
CHORS,succinate,0.124103995490011
CHORM,succinate,0.120686443428886
AOBUTDs,succinate,0
CCPPMD,succinate,0
14HPED,succinate,0
DHQND,succinate,0.124103995490011
IMPD,succinate,0.025589020328164
Biomass,succinate,0.264721306051515
SUCOAS,succinate,-0.798529354442868
PPAt,succinate,0
IMP,succinate,0
ACPYRH,succinate,0
BUPN,succinate,0
BUDPP1,succinate,0
ALRTg,succinate,0
SSALy,succinate,0
GART,succinate,0.093794994274957
CRNabc,succinate,0
CCPPCCOAL,succinate,0
CCPAMAH,succinate,0
NAPMSCD,succinate,0
BTCAL,succinate,0
GACT_h,succinate,0.082084782580454
ALRTa,succinate,0
XANt2,succinate,0
XANt,succinate,0
BZFORCL1,succinate,0
KYN,succinate,0
BZFORCL2,succinate,0
KYNRN1,succinate,0
ALRTx,succinate,0
ALRTs,succinate,0
MG2t,succinate,0
KYNRN3,succinate,0
4NPHPP,succinate,0
ACS,succinate,0
FUM,succinate,5.7857424097449
GERCT,succinate,0
NADHDH,succinate,0
PROTCD,succinate,0
PPNCL,succinate,0.001151537681324
TRPTRS,succinate,0
G1SAT,succinate,0.000470145039547
PROD2,succinate,0
ADNt2,succinate,0
ASP1DC,succinate,0.001151537681324
MNAO10,succinate,0
ADCOBNSYN,succinate,0
MNAO13,succinate,0
MNAO14,succinate,0
CLt,succinate,0
MNAO11,succinate,0
MNAO12,succinate,0
CYSTRS,succinate,0
L_LACD2,succinate,0
UAGAAT,succinate,0.00252014683361
PHE2MO1,succinate,0
GLUCD1,succinate,0
GLUCD2,succinate,0
MCITS,succinate,0
PHE2MO3,succinate,0
PHE2MO2,succinate,0
PPG2DG,succinate,0
CPPPGO,succinate,5.87681299434364E-05
NDPK1,succinate,0.056659360019434
NDPK2,succinate,0.144820820180296
NDPK5,succinate,0.008649503953927
4CRESOLt,succinate,0
NDPK6,succinate,0
NDPK3,succinate,0.028686259608967
TTDCAt2,succinate,0
NDPK4,succinate,0.004628387315005
NUDPK9,succinate,0
ASPTA,succinate,-0.873818559145456
NDPK7,succinate,0.008649503953927
NDPK8,succinate,0.004628387315005
GLU5K,succinate,0.179470456650685
ALPHNH,succinate,0
GLNabc,succinate,0
SEROAT,succinate,0.025172348992439
ORNCD,succinate,0
NPHS,succinate,0
Phospholipid,succinate,0.01310370464955
GLYCTO1p,succinate,0
SDPDS,succinate,0.049905260616832
FUCt,succinate,0
VALTRS,succinate,0
SERDHT2,succinate,0
UBQBM,succinate,0
RNA,succinate,0.015883278363091
PPCDC,succinate,0.001151537681324
PHAS,succinate,0
SUCD1,succinate,0
34DHFD,succinate,0
SUCDi,succinate,5.63894756278537
ASCBptspp,succinate,0
SUCD4,succinate,0
CCHCCOAL,succinate,0
Ktr,succinate,0
PYDXO_1,succinate,0
GLUtr,succinate,0
URIt2,succinate,0
IDONt2r,succinate,0
CTPS2,succinate,0.024501015760292
UAGCVT,succinate,0.015883278363091
THRTRS,succinate,0
PTA2,succinate,0
CYTCOBO3,succinate,10.6391829858795
MAN1PT2,succinate,0
HIBDkt,succinate,0
BPHEHB,succinate,0
BPHEHA,succinate,0
TRPAS2,succinate,-0.00144008390492
THDPS,succinate,0.049905260616832
GALCTD,succinate,0
GRTT,succinate,0.00117059761536
GLYC3Pabc,succinate,0
PYDXNO,succinate,0
HACDHG,succinate,0
TDPDRE,succinate,0
RNDR1,succinate,0.004628387315005
RNDR2,succinate,0.008649503953927
PC,succinate,0
RNDR3,succinate,0.008649503953927
VALTA,succinate,-0.123667205335026
RNDR4,succinate,0.004628387315005
GF6PTA,succinate,0.105934848649165
ATPADT,succinate,0
NTRLASE,succinate,0
ILEabc,succinate,0
AADT2,succinate,0
NITL2,succinate,0
GALUi,succinate,0.00252014683361
NITL1,succinate,0
FMETDF,succinate,0
NITL5,succinate,0
4CRESOLD,succinate,0
NITL4,succinate,0
PPCOAC,succinate,0
PPA2,succinate,0
PHE2MO4,succinate,0
PPA,succinate,0.562184666842018
PHE2MO5,succinate,0
Carbohydrate,succinate,0.014559671832833
RPI,succinate,-0.115398370619204
ALAtr,succinate,0
PYK,succinate,0
IZPN,succinate,0
RPE,succinate,-0.127797916594657
TYRTM,succinate,0
FABC150,succinate,0.000256098803671
CNTOB,succinate,0
FABC151,succinate,0
GTADT2,succinate,0
PMCOAD,succinate,0
GTADT1,succinate,0
TRDR,succinate,0.080349799140592
ACLS,succinate,0.218784217812396
GMHEPAT,succinate,0.003780220250416
C181t,succinate,0
ACACt2,succinate,0
PTRCORNt7,succinate,0
MICITDr,succinate,0
3OXAPT,succinate,0.00220777569247
Cofactors_and_vitamins,succinate,0.007941639181545
TREH,succinate,0
HMR_0614,succinate,0.00252014683361
GTPCI,succinate,0.001977468156205
FORGD,succinate,0
AHCYSNS,succinate,0
XAND,succinate,0
UGMDDS,succinate,0.015883278363091
OCTMBZM,succinate,0.001111829485416
ALLTC,succinate,0
FABC140,succinate,0.016589416093672
FABC141,succinate,0
ACALDt,succinate,0
NADH16,succinate,4.99825795493797
CGS_m,succinate,0
NADH5,succinate,0
CYSGS2,succinate,0
GMHEPPA,succinate,0.003780220250416
ALAR,succinate,0.047649835089273
MALTHXabc,succinate,0
NADK,succinate,0.001183304238051
HETZK,succinate,0
OCDCAt2,succinate,0
ASPCT,succinate,0.040994212012526
O2t,succinate,5.34871242493327
CYTDtr,succinate,0
DCYTt2,succinate,0
DATA2,succinate,0
ALATA_D,succinate,0.015883278363091
OHPBAKGT,succinate,0.003565795992514
DATA3,succinate,0
AGPR,succinate,-0.082084782580454
FRUP,succinate,0
THRD,succinate,0
OCDOR,succinate,0.000731710867631
DHDPRy,succinate,0.049905260616832
ACMANApts,succinate,0
FUMAC,succinate,0
PTAr,succinate,0
GLYAT,succinate,0
DHPD,succinate,0
NNAM,succinate,0
DPR,succinate,0.001151537681324
GLYt2r,succinate,0
TAGL2_Nlimit,succinate,0
E4PD,succinate,0.003565795992514
KPENH,succinate,0
ADHEr,succinate,0
OCT,succinate,0.082084782580454
HIStr,succinate,0
NTD9,succinate,0
FABC120,succinate,0.006556465887697
NTD8,succinate,0
CCHNM2,succinate,0
34DHBt,succinate,0
NTD5,succinate,0
NTD4,succinate,0
NTD7,succinate,0
NTD6,succinate,0
ADNCYC,succinate,0
AHCi,succinate,0.003335488456249
ADHC2,succinate,0
CCHNM1,succinate,0
PRAIZC2,succinate,-0.02516652512371
AMAA,succinate,0
PRAIZC1,succinate,0.02516652512371
12DHFD,succinate,0
GUAD,succinate,0
NTD1,succinate,0
NAt3_2,succinate,0
ASNabc,succinate,0
NTD2,succinate,0
NAt3_1g,succinate,0.053794016602729
NMNt7,succinate,0
NTD3,succinate,0
ARGORNt7,succinate,0
CBL,succinate,0
CYSTBL2,succinate,0
ADPT,succinate,0
GLYTRS,succinate,0
3IPPMD1,succinate,0
CYSTBL1,succinate,0
3IPPMD2,succinate,0
G6PDH2r,succinate,0
ALRTgp,succinate,0
NITOXDR,succinate,0
ADNCYC1,succinate,0
BZ12DOX,succinate,0
BZOTD7,succinate,0
NADDP,succinate,0
OP4ENH,succinate,0
ACMSD,succinate,0
BZOTD3,succinate,0
BZOTD4,succinate,0
BZOTD5,succinate,0
NADDP1,succinate,0
G1PTT,succinate,0
BZOTD1,succinate,0
ASPSAD,succinate,-0.271138150510204
ADPRT2,succinate,0
ALCDH_pqq_x,succinate,0
ADPRT3,succinate,0
ADPRT4,succinate,0
KAS14,succinate,0
3CMUCC,succinate,0.00220777569247
BKACPS1,succinate,0
ICDHyr,succinate,0
ANOXDR,succinate,0
IG3PS,succinate,0.00144008390492
ACONCt,succinate,0
THMabc,succinate,0
CYTDA,succinate,0
FALDH,succinate,0
FDFT1,succinate,0
ANDO,succinate,0
FDFT2,succinate,0
GLBRAN2,succinate,0
UPPDC2,succinate,0
UPPDC1,succinate,5.87681299434364E-05
GLCNt2r,succinate,0
SKDH,succinate,0.124103995490011
MTTGH,succinate,0
PDX5PSb,succinate,0
TDSK,succinate,0.001260073416805
DNMPPA,succinate,0
NTRIR2x,succinate,0
PPC,succinate,0
ACYP,succinate,0
APPS2,succinate,0
SDPTA,succinate,-0.049905260616832
6CHQt,succinate,0
APPS3,succinate,0
DPHS,succinate,0.124103995490011
ARGSL,succinate,0.082084782580454
PAAD6,succinate,0
PAAD5,succinate,0
PAAD8,succinate,0
PAAD7,succinate,0
POX,succinate,0
PAAD2,succinate,0
PAAD1,succinate,0
CITt7,succinate,0
PAAD4,succinate,0
PLIPASA1E_Nlimit,succinate,0
NO3t7,succinate,0
PAAD3,succinate,0
SPMS3,succinate,0
LYStr,succinate,0
SPMS,succinate,0
COBBP1,succinate,0
COBBP2,succinate,0
PAAD9,succinate,0
AOBZACt,succinate,0
VALabc,succinate,0
GLXCL,succinate,0.004926992948476
SHKK,succinate,0.124103995490011
ARGDC,succinate,0
DMQMT,succinate,0.001111829485416
NNDMBRT,succinate,0
DPCOAK,succinate,0.001151537681324
FUCPt6_2,succinate,0
NTP3,succinate,0
NTP1,succinate,0
ILETRS,succinate,0
NAt3_15,succinate,0
ACBIPGT,succinate,0
MCITL2,succinate,0
PPS,succinate,0
6CHQD,succinate,0
OMPHHX,succinate,0.001111829485416
CBBCYC,succinate,0
GTHS,succinate,0
MCLACi,succinate,0
PRFGAS,succinate,0.028486130301596
AHSERL4,succinate,0
SCCNAPS,succinate,0
INStr,succinate,0
ADCL,succinate,0.001977468156205
HYXNt,succinate,0
PANTS,succinate,0.001151537681324
DDGD,succinate,0
OAHSL1,succinate,0
DXPRIi,succinate,0.009070940273161
BUTt2r,succinate,0
SUCCabc,succinate,0
SUCCtr,succinate,0
ALPNIT,succinate,0
PMDPHT,succinate,0.003049589445713
IDPD,succinate,0
ALADH,succinate,0
OPHBDC,succinate,0.001111829485416
G3POAT_Nlimit,succinate,0
16DCDC4,succinate,0
16DCDC3,succinate,0
THD2,succinate,0
16DCDC2,succinate,0
16DCDC1,succinate,0
TRSARr,succinate,0.004926992948476
ETOHt2r,succinate,0
THIOLS,succinate,0
PTPATi,succinate,0.001151537681324
TDPDRR,succinate,0
METTRS,succinate,0
TRPS2_1,succinate,0.00144008390492
TRPS2,succinate,0
OXCTD2,succinate,0
OXCTD1,succinate,0
PHEA4H,succinate,0
PMPK,succinate,0.003319605177886
CMK,succinate,0.009070940273161
TRPS1,succinate,0
DLACt,succinate,0
AG3POAT_Nlimit,succinate,0
2H3MBZP,succinate,0
TKT1,succinate,0.001826047569142
TKT2,succinate,-0.129623964163799
HXAND,succinate,0
3OXAPLC,succinate,0.00220777569247
ALRTap,succinate,0
ALCDd,succinate,0
ANS,succinate,0.00144008390492
BENZt,succinate,0
PGPS,succinate,0.015883278363091
SADMET,succinate,0
UAG4Ei,succinate,0.014326717083508
MLTGCT,succinate,0
MMSAD1m,succinate,0
UROCANt,succinate,0
ALCDt,succinate,0
NTD11,succinate,0
GLCNtr,succinate,0
DUTPDP,succinate,0
ACGK,succinate,0.082084782580454
NTD10,succinate,0
CHOLD,succinate,0
CHOLD1,succinate,0
CYTDt2,succinate,0
LEUabc,succinate,0
GRATT,succinate,0.00117059761536
DHEDAA,succinate,0
P5PPR,succinate,0
DHHED1,succinate,0
HXMGL,succinate,0
ACGS,succinate,0
FBMO10,succinate,0
FBMO11,succinate,0
ANPRT,succinate,0.00144008390492
MACR4p,succinate,0
FBMO14,succinate,0
FBMO15,succinate,0
FBMO12,succinate,0
FBMO13,succinate,0
ASPALAt,succinate,0
GLUABUTt7,succinate,0
PYAM5PO,succinate,0
PHBD,succinate,0
GLYK,succinate,0
