reaction_id,condition,flux_mmol_gDCW_h_FBA
ACP1p,fructose,0.0
SALCH1,fructose,0.0
GMPS,fructose,0.028839058432548303
DGSNt2,fructose,0.0
ACODA,fructose,0.0
KDOCT2,fructose,0.007100570953989259
SALCH5,fructose,0.0
SALCH4,fructose,0.0
SALCH3,fructose,0.0
SALCH2,fructose,0.0
BTPT3,fructose,0.0
GLUTRS,fructose,0.0005298577316926439
GLUTRR,fructose,0.0005298577316926439
SLFR,fructose,0.060626345527748295
NTPTP1,fructose,0.0
CARSA,fructose,0.0
LPD5,fructose,0.0
NUTPTP2,fructose,0.0
2HOHPHDB,fructose,0.0
H2Ot,fructose,-24.30234725871921
PPAKr,fructose,0.0
CBL1abc,fructose,0.0
PTRCt2,fructose,0.0
HOPNTAL,fructose,0.0
METTHFD,fructose,0.0
ANTHMN1,fructose,0.0
LEUTRS,fructose,0.0
ANTHMN2,fructose,0.0
MTHFR2,fructose,0.036016005275864856
MDH,fructose,1.8015368400852576
DHDPS,fructose,0.05624368219521241
BZALt,fructose,0.0
BPHEDO1,fructose,0.0
MDH2,fructose,0.0
BPHEDO2,fructose,0.0
FBA,fructose,0.0
PERD,fructose,0.004018684485227464
UGLYCH,fructose,0.0
AKGDH,fructose,1.6245339266813477
ILEtr,fructose,0.0
ALATRS,fructose,0.0
MECDPDHT,fructose,0.010223032113840168
PHETRS,fructose,0.0
FLVRx,fructose,0.0
HYDRTS,fructose,0.0
PTRCabc,fructose,0.0
GALCTtr,fructose,0.0
CHCOAL,fructose,0.0
MALTTRabc,fructose,0.0
LYSTRS,fructose,0.0
4FLRBZt,fructose,0.0
SPMDabc,fructose,0.0
G5SD,fructose,0.20226483546077978
KYNATESYN,fructose,0.0
FBP,fructose,0.0
ACt2r,fructose,0.0
ADOCBLS,fructose,0.0
GGMT2,fructose,0.0
GGMT1,fructose,0.0
GAM,fructose,0.0
GLUN2,fructose,0.0
MNAO15,fructose,0.0
LPS,fructose,0.010143672791413228
CHLtr,fructose,0.0
DCTPD,fructose,0.0
DCTPDA2,fructose,0.0
ADPRDP,fructose,0.0
GLCURt2r,fructose,0.0
THFAT,fructose,0.0
MACACI,fructose,0.0
FORTF,fructose,0.0
OMMBZH,fructose,0.0
G6Pt6_2,fructose,0.0
XPPT,fructose,0.0
ACACT1r,fructose,0.0
CYSSADS,fructose,0.0
HTTOG,fructose,0.0
SHCHCC,fructose,0.0
DHR,fructose,-0.04620084944507852
CATOCS,fructose,0.0
PPGS,fructose,0.0
GENDO,fructose,0.0
HATRAZE2,fructose,0.0
ADSK,fructose,0.060626345527748295
FCLT,fructose,6.623221646158048e-05
HATRAZE1,fructose,0.0
TRPD,fructose,0.0
ADSLFK2,fructose,0.0
HACD5,fructose,0.0
UNAMPLA,fructose,0.0179005990436704
MOHMT,fructose,0.0012977934306766903
BTS4,fructose,0.0
PPG2DGp,fructose,0.0
NADSG,fructose,0.002828294648900359
UAAGDS,fructose,0.0179005990436704
AMID2,fructose,0.0
TAUDO,fructose,0.0
THRtr,fructose,0.0
AMDS6,fructose,0.0
ACPCD,fructose,0.0
HMR_7756,fructose,0.0
AMDS3,fructose,0.0
2HISOPD,fructose,0.0
AMDS2,fructose,0.0
CADVt,fructose,0.0
TMPPP,fructose,0.0037412252001271136
NPPDO,fructose,0.0
HACD1,fructose,0.0
HACD2,fructose,0.0
HACD4,fructose,0.0
3HBCDH,fructose,0.0
DURIt2,fructose,0.0
GLYCLTt2r,fructose,0.0
G6PDA,fructose,0.0
UDPG4E1,fructose,0.0
PUNP7,fructose,0.0
ALATA_D2,fructose,0.0
PUNP6,fructose,0.0
PUNP5,fructose,0.0
PUNP4,fructose,0.0
PAPPT3,fructose,0.0179005990436704
PROt4,fructose,0.0
3HBD,fructose,0.0
PUNP3,fructose,0.0
PUNP2,fructose,0.0
PUNP1,fructose,0.0
FBMO2,fructose,0.0
FBMO1,fructose,0.0
DHPPRAP,fructose,0.0034369150163847165
HMDPPK,fructose,0.0
HPPPNt2r,fructose,0.0
PNTK,fructose,0.0012977934306766903
LCADi,fructose,0.0
CBPS,fructose,0.13871114530276718
FBMO6,fructose,0.0
PNTOK2,fructose,0.0
FBMO5,fructose,0.0
PNTOK3,fructose,0.0
HDCAt2,fructose,0.0
FBMO3,fructose,0.0
DSERt2,fructose,0.0
FBMO9,fructose,0.0
FBMO8,fructose,0.0
DAPDC,fructose,0.03834308315154201
FBMO7,fructose,0.0
UAGDP,fructose,0.11938953703834672
NO2t2r,fructose,0.0
METabc,fructose,0.0
CDPGD,fructose,0.0
TOLabc,fructose,0.0
AMAOTr,fructose,0.0
UPP3MT,fructose,0.0
DAAD,fructose,0.0
PRGCS,fructose,0.03210412769824722
MNLpts,fructose,0.0
SERt4,fructose,0.0
OCOAT1m,fructose,0.0
UPPRT,fructose,0.0
LDHm,fructose,0.0
GAMpts,fructose,0.0
PPCK,fructose,0.0
ASPAM1,fructose,0.0
BZACCOAT,fructose,0.0
ASPAM2,fructose,0.0
ASPAM3,fructose,0.0
ASPAM4,fructose,0.0
AAATT,fructose,0.0
ASPt2_3,fructose,0.0
MALTPTabc,fructose,0.0
ACHBS,fructose,0.06207927748344896
ASPt2_2,fructose,0.0
CHORS,fructose,0.1398663306277187
CHORM,fructose,0.1360147184001556
AOBUTDs,fructose,0.0
CCPPMD,fructose,0.0
14HPED,fructose,0.0
DHQND,fructose,0.1398663306277187
IMPD,fructose,0.028839058432548303
Biomass,fructose,0.2983433173945067
SUCOAS,fructose,-1.5682902444861353
PPAt,fructose,0.0
IMP,fructose,0.0
ACPYRH,fructose,0.0
BUPN,fructose,0.0
BUDPP1,fructose,0.0
ALRTg,fructose,0.0
SSALy,fructose,0.0
GART,fructose,0.10570781084607034
CRNabc,fructose,0.0
CCPPCCOAL,fructose,0.0
CCPAMAH,fructose,0.0
NAPMSCD,fructose,0.0
BTCAL,fructose,0.0
GACT_h,fructose,0.09251029585768865
ALRTa,fructose,0.0
XANt2,fructose,0.0
XANt,fructose,0.0
BZFORCL1,fructose,0.0
KYN,fructose,0.0
BZFORCL2,fructose,0.0
KYNRN1,fructose,0.0
ALRTx,fructose,0.0
ALRTs,fructose,0.0
MG2t,fructose,0.0
KYNRN3,fructose,0.0
4NPHPP,fructose,0.0
ACS,fructose,0.0
FUM,fructose,1.8015368400852576
GERCT,fructose,0.0
NADHDH,fructose,0.0
PROTCD,fructose,0.0
PPNCL,fructose,0.0012977934306766903
TRPTRS,fructose,0.0
G1SAT,fructose,0.0005298577316926439
PROD2,fructose,0.0
ADNt2,fructose,0.0
ASP1DC,fructose,0.2969381203695892
MNAO10,fructose,0.0
ADCOBNSYN,fructose,0.0
MNAO13,fructose,0.0
MNAO14,fructose,0.0
CLt,fructose,0.0
MNAO11,fructose,0.0
MNAO12,fructose,0.0
CYSTRS,fructose,0.0
L_LACD2,fructose,0.0
UAGAAT,fructose,0.002840228381595704
PHE2MO1,fructose,0.0
GLUCD1,fructose,0.0
GLUCD2,fructose,0.0
MCITS,fructose,0.0
PHE2MO3,fructose,0.0
PHE2MO2,fructose,0.0
PPG2DG,fructose,0.0
CPPPGO,fructose,6.623221646158048e-05
NDPK1,fructose,0.063855613595275
NDPK2,fructose,0.1632143803036954
NDPK5,fructose,0.009748069552548113
4CRESOLt,fructose,0.0
NDPK6,fructose,0.0
NDPK3,fructose,0.03232967524614891
TTDCAt2,fructose,0.0
NDPK4,fructose,0.005216234561325555
NUDPK9,fructose,0.0
ASPTA,fructose,-0.9669008573440604
NDPK7,fructose,0.009748069552548113
NDPK8,fructose,0.005216234561325555
GLU5K,fructose,0.20226483546077978
ALPHNH,fructose,0.0
GLNabc,fructose,0.0
SEROAT,fructose,0.028369466051054226
ORNCD,fructose,0.0
NPHS,fructose,0.0
