,loopless
UPPRT,0.0
LDHm,0.0
GAMpts,0.0
PPCK,0.0
ASPAM1,0.0
BZACCOAT,0.0
ASPAM2,0.0
ASPAM3,0.0
ASPAM4,0.0
AAATT,0.0
ASPt2_3,0.0
MALTPTabc,0.0
ACHBS,0.0412822801008163
ASPt2_2,0.0
CHORS,0.09301011982920716
CHORM,0.09044882496137134
AOBUTDs,0.0
CCPPMD,0.0
14HPED,0.0
DHQND,0.09301011982920716
IMPD,0.0191777697215749
Biomass,0.19839619425613367
SUCOAS,-1.0754054263024382
PPAt,0.0
IMP,0.0
ACPYRH,0.0
BUPN,0.0
BUDPP1,0.0
ALRTg,0.0
SSALy,0.0
GART,0.07029494596406126
CRNabc,0.0
CCPPCCOAL,0.0
CCPAMAH,0.0
NAPMSCD,0.0
BTCAL,0.0
GACT_h,0.061518691914941935
ALRTa,0.0
XANt2,0.0
XANt,0.0
BZFORCL1,0.0
KYN,0.0
BZFORCL2,0.0
KYNRN1,0.0
ALRTx,0.0
ALRTs,0.0
MG2t,0.0
KYNRN3,0.0
4NPHPP,0.0
ACS,0.04220482240410731
FUM,1.224609680985157
GERCT,0.0
NADHDH,0.0
PROTCD,0.0
PPNCL,0.0008630234450141754
TRPTRS,0.0
G1SAT,0.0003523516409988934
PROD2,0.0
ADNt2,0.0
ASP1DC,0.1974617481811873
MNAO10,0.0
ADCOBNSYN,0.0
MNAO13,0.0
MNAO14,0.0
CLt,0.0
MNAO11,0.0
MNAO12,0.0
CYSTRS,0.0
L_LACD2,0.0
UAGAAT,0.0018887317693183929
PHE2MO1,0.0
GLUCD1,0.0
GLUCD2,0.0
MCITS,0.0
PHE2MO3,0.0
PHE2MO2,0.0
PPG2DG,0.0
CPPPGO,4.404395512486167e-05
NDPK1,0.04246353104141981
NDPK2,0.10853640759550878
NDPK5,0.0064823972511249125
4CRESOLt,0.0
NDPK6,0.003468759060374241
NDPK3,0.021499005194371656
TTDCAt2,0.0
NDPK4,0.003468759060374241
NUDPK9,0.0
ASPTA,-0.6472321938476282
NDPK7,0.0064823972511249125
NDPK8,0.003468759060374241
GLU5K,0.13450468385788839
ALPHNH,0.0
GLNabc,0.0
SEROAT,0.018865494111815748
ORNCD,0.0
NPHS,0.0
Phospholipid,0.009820611615678616
GLYCTO1p,0.0
SDPDS,0.037401650541166315
FUCt,0.0
VALTRS,0.0
SERDHT2,0.0
UBQBM,0.0
RNA,0.011903771655368019
PPCDC,0.0008630234450141754
PHAS,0.0
SUCD1,0.8818563267592874
34DHFD,0.0
SUCDi,0.23260537434441342
ASCBptspp,0.0
SUCD4,0.8818563267595956
CCHCCOAL,0.0
Ktr,0.0
PYDXO_1,0.0
GLUtr,0.0
URIt2,0.0
IDONt2r,0.0
CTPS2,0.018362361363182193
UAGCVT,0.011903771655368019
THRTRS,0.0
PTA2,0.0
CYTCOBO3,7.221595863235032
MAN1PT2,0.0
HIBDkt,0.0
BPHEHB,0.0
BPHEHA,0.0
TRPAS2,-0.0010792752967425166
THDPS,0.037401650541166315
GALCTD,0.0
GRTT,0.0008773079710006218
GLYC3Pabc,0.0
PYDXNO,0.0
HACDHG,0.0
TDPDRE,0.0
RNDR1,0.003468759060374241
RNDR2,0.0064823972511249125
PC,0.0
RNDR3,0.0064823972511249125
VALTA,-0.09268276610869541
RNDR4,0.003468759060374241
GF6PTA,0.07939319703644827
ATPADT,0.0
NTRLASE,0.0
ILEabc,0.0
AADT2,0.0
NITL2,0.0
GALUi,0.0018887317693183929
NITL1,0.0
FMETDF,0.0
NITL5,0.0
4CRESOLD,0.0
NITL4,0.0
PPCOAC,0.0
PPA2,0.0
PHE2MO4,0.0
PPA,0.4670046032633102
PHE2MO5,0.0
Carbohydrate,0.01091179068408735
RPI,-0.0864856625849016
ALAtr,0.0
PYK,0.42175883962404037
IZPN,0.0
RPE,-0.0957785403238589
TYRTM,0.0
FABC150,0.0007677361336857421
CNTOB,0.0
FABC151,0.00027419147631853303
GTADT2,0.0
PMCOAD,0.0
GTADT1,0.0
TRDR,0.060218403257787226
ACLS,0.1639685026668668
GMHEPAT,0.002833097653977589
C181t,0.0
ACACt2,0.0
PTRCORNt7,0.0
MICITDr,0.0
3OXAPT,0.001654624260096156
Cofactors_and_vitamins,0.0059518858276840095
TREH,0.0
HMR_0614,0.0018887317693183929
GTPCI,0.0014820195710933185
FORGD,0.0
AHCYSNS,0.0
XAND,0.0
UGMDDS,0.011903771655368019
OCTMBZM,0.0008332640158757601
ALLTC,0.0
FABC140,0.012295893003878329
FABC141,2.74191476318533e-05
ACALDt,0.0
NADH16,6.093704525345023
CGS_m,0.0
NADH5,0.0
CYSGS2,0.0
GMHEPPA,0.002833097653977589
ALAR,0.023807543310736038
MALTHXabc,0.0
NADK,0.0008868309883249176
HETZK,0.0
OCDCAt2,0.0
ASPCT,0.030723237850116335
O2t,3.63435529732698
CYTDtr,0.0
DCYTt2,0.0
DATA2,0.0
ALATA_D,0.0
OHPBAKGT,0.0026723967366301202
DATA3,0.0
AGPR,-0.061518691914941935
FRUP,0.0
THRD,0.0
OCDOR,0.0
DHDPRy,0.037401650541166315
ACMANApts,0.0
FUMAC,0.0
PTAr,0.0
GLYAT,0.0
DHPD,0.0
NNAM,0.0
DPR,0.0008630234450141754
GLYt2r,0.0
TAGL2_Nlimit,0.0
E4PD,0.0026723967366301202
KPENH,0.0
ADHEr,0.0
OCT,0.061518691914941935
HIStr,0.0
NTD9,0.0
FABC120,0.004776667718553539
NTD8,0.0
CCHNM2,0.0
34DHBt,0.0
NTD5,0.0
NTD4,0.0
NTD7,0.0
NTD6,0.0
ADNCYC,0.0
AHCi,0.0024997920476272804
ADHC2,0.0
CCHNM1,0.0
PRAIZC2,-0.01886112939554462
AMAA,0.0
PRAIZC1,0.01886112939554462
12DHFD,0.0
GUAD,0.0
NTD1,0.0
NAt3_2,0.0
ASNabc,0.0
NTD2,0.0
NAt3_1g,0.0
NMNt7,0.0
NTD3,0.0
ARGORNt7,0.0
CBL,0.0
CYSTBL2,0.0
ADPT,0.0
GLYTRS,0.0
3IPPMD1,0.0
CYSTBL1,0.0
3IPPMD2,0.0
G6PDH2r,1.8485280703675817
ALRTgp,0.0
NITOXDR,0.0
ADNCYC1,0.0
BZ12DOX,0.0
BZOTD7,0.0
NADDP,0.0
OP4ENH,0.0
ACMSD,0.0
BZOTD3,0.0
BZOTD4,0.0
BZOTD5,0.0
NADDP1,0.0
G1PTT,0.0
BZOTD1,0.0
ASPSAD,-0.20745528588782203
ADPRT2,0.0
ALCDH_pqq_x,0.0
ADPRT3,0.0
ADPRT4,0.0
KAS14,0.0
3CMUCC,0.001654624260096156
BKACPS1,0.0
ICDHyr,0.0
ANOXDR,0.0
IG3PS,0.0010792752967425166
ACONCt,0.0
THMabc,0.0
CYTDA,0.0
FALDH,0.0
FDFT1,0.0
ANDO,0.0
FDFT2,0.0
GLBRAN2,0.0
UPPDC2,0.0
UPPDC1,4.404395512486167e-05
GLCNt2r,0.0
SKDH,0.09301011982920716
MTTGH,0.023950388570600455
PDX5PSb,0.0
TDSK,0.0009443658846591964
DNMPPA,0.0
NTRIR2x,0.0
PPC,0.8818563267597039
ACYP,0.0
APPS2,0.0
SDPTA,-0.037401650541166315
6CHQt,0.0
APPS3,0.0
DPHS,0.09301011982920716
ARGSL,0.061518691914941935
PAAD6,0.0
PAAD5,0.0
PAAD8,0.0
PAAD7,0.0
POX,0.0
PAAD2,0.0
PAAD1,0.0
CITt7,0.0
PAAD4,0.0
PLIPASA1E_Nlimit,0.0
NO3t7,0.0
PAAD3,0.0
SPMS3,0.0
LYStr,0.0
SPMS,0.0
COBBP1,0.0
COBBP2,0.0
PAAD9,0.0
AOBZACt,0.0
VALabc,0.0
GLXCL,0.0
SHKK,0.09301011982920716
ARGDC,0.0
DMQMT,0.0008332640158757601
NNDMBRT,0.0
DPCOAK,0.0008630234450141754
FUCPt6_2,0.0
NTP3,0.0
NTP1,0.0
ILETRS,0.0
NAt3_15,0.02015804531739446
ACBIPGT,0.0
MCITL2,0.0
PPS,0.0
6CHQD,0.0
OMPHHX,0.0
GTHS,0.0
MCLACi,0.0
PRFGAS,0.021349017671516535
AHSERL4,0.0
SCCNAPS,0.0
INStr,0.0
ADCL,0.0014820195710933185
HYXNt,0.0
PANTS,0.0008630234450141754
DDGD,0.0
OAHSL1,0.0
DXPRIi,0.006798243992380666
BUTt2r,0.0
SUCCabc,0.0
SUCCtr,0.0
ALPNIT,0.0
PMDPHT,0.0022855241578306597
IDPD,0.0
ALADH,0.0
OPHBDC,0.0008332640158757601
G3POAT_Nlimit,0.01370957381636595
16DCDC4,0.0
16DCDC3,0.0
THD2,0.0
16DCDC2,0.0
16DCDC1,0.0
TRSARr,0.0
ETOHt2r,0.0
THIOLS,0.0
PTPATi,0.0008630234450141754
TDPDRR,0.0
METTRS,0.0
TRPS2_1,0.0010792752967425166
TRPS2,0.0
OXCTD2,0.0
OXCTD1,0.0
PHEA4H,0.0
PMPK,0.002487888275971916
CMK,0.006798243992380666
TRPS1,0.0
DLACt,0.0
AG3POAT_Nlimit,0.013709573815487349
2H3MBZP,0.0
TKT1,0.0013685369479779935
TKT2,-0.09714707727183688
HXAND,0.0
3OXAPLC,0.001654624260096156
ALRTap,0.0
ALCDd,0.0
ANS,0.0010792752967425166
BENZt,0.0
PGPS,0.011903771655368019
SADMET,0.0
UAG4Ei,0.010737202033141952
MLTGCT,0.0
MMSAD1m,0.0
UROCANt,0.0
ALCDt,0.0
NTD11,0.0
GLCNtr,0.0
DUTPDP,0.003468759060374241
ACGK,0.061518691914941935
NTD10,0.0
CHOLD,0.0
CHOLD1,0.0
CYTDt2,0.0
LEUabc,0.0
GRATT,0.0008773079710006218
DHEDAA,0.0
P5PPR,0.0
DHHED1,0.0
HXMGL,0.0
ACGS,0.0
FBMO10,0.0
FBMO11,0.0
ANPRT,0.0010792752967425166
MACR4p,0.0
FBMO14,0.0
FBMO15,0.0
FBMO12,0.0
FBMO13,0.0
ASPALAt,0.0
GLUABUTt7,0.0
PYAM5PO,0.0
PHBD,0.0
GLYK,0.0
UREAt,0.0
G3PD2,-0.017402123782982507
MANpts,0.0
G3PD5,0.0
GLCRD,0.0
4NOXDR,0.0
2KCHCCH,0.0
DABOT,0.0
PGI,-1.8504168021369
ASO3t1,0.0
4HTHRS,0.0
PGK,-1.7240519173369515
ASO3t2,0.0
SERtr,0.0
PGM,-1.5062610071208227
PGL,1.8485280703675817
GLCRDH,0.0
NAMNPP,0.0
AGMT,0.0
MUCCYCI,0.0
MCCIS2,0.0
MCCIS5,0.0
MCCIS4,0.0
OCMPH1,0.0008332640158757601
NITRDT1p,0.0
GLYCt,0.0
THMB,0.002487888275971916
OMPHHX3,0.0
MCCIS1,0.0
OCMPH2,0.0
PHBt,0.0
MNAO8,0.0
P5CR,0.0
LGTHL,0.0
MNAO9,0.0
GGLUCYSS,0.0
MNAO4,0.0
MNAO5,0.0
MNAO6,0.0
IMG3PS,0.030084798897000112
MNAO7,0.0
AACTOOR,0.0
MNAO2,0.0
UAGPT2,0.011903771655368019
MNAO3,0.0
FMETTRS,0.0
ALAabc,0.0
ME4PCT,0.006798243992380666
HEMEOS,4.404395512486167e-05
DTO4CH,0.0
FLBZDD,0.0
ASPR,0.0
DHAt,0.0
S7PI,0.002833097653977589
ACGApts,0.0
PDX5PS,0.0026723967366301202
HMPK1,0.002487888275971916
DHADT1,0.1639685026668668
PLIPASA1S_Nlimit,0.0
MCDC,0.0
DHADT2,0.0412822801008163
ACPS1,0.0
DHPMD,0.0
MALTTTRabc,0.0
4HBZt,0.0
PCT3,0.0
PCT2,0.0
PGCM,-0.0018887317693183929
PCT1,0.0
DAPE,0.037401650541166315
NUDPK10,0.0
GOX,0.0
ASPt,0.0
GLUPRT,0.021349017671516535
FE2abc,4.404395512486167e-05
HISabc,0.0
4HBTt,0.0
BETALDHx,0.0
BETALDDH1,0.0
MALDDH,0.0
SUCCt2r,0.0
GSNt2,0.0
ILETA,-0.0412822801008163
ASNS,0.04978157306274906
PDH1,1.6565907398458435
2AMBZC,0.0
ICDHx,1.4607158334683261
PDH2,1.6565907398458435
CLS_m,0.0
CLPNS2,0.0009133168802581113
P5CD3,0.0
BPDDO,0.0
P5CD4,0.0
METAT,0.0024997920476272804
PDH3,1.6565907398458435
P5CD5,0.0
BKAR2,0.0
PCNO,0.0
DAPabc,0.0
4HBZDC,0.0
R15BPK,0.0
ASPK,0.20745528588782203
MGSA,0.0
4HBZCT,0.0
PAPSR,0.04031609063478892
IPMD,0.07042271311315722
PAPSR2,0.0
GCALDD,0.0014820195710933185
PDX5POi,0.0026723967366301202
FGDM,0.0
