sgRNA	readcount	timepoint	induction	sample
ssl2250_17	277	0h	u	1
gltX_22	123	0h	u	1
sll1595_84	2	0h	u	1
Entry1535_58	100	0h	u	1
slr0169_29	197	0h	u	1
gshB_24	208	0h	u	1
sll1273_68	255	0h	u	1
slr0951_15	311	0h	u	1
cpcG_89	138	0h	u	1
ape2_22	252	0h	u	1
sll1848_7	1	0h	u	1
ccmK2_38	107	0h	u	1
sll1214_10	1	0h	u	1
slr1788_21	74	0h	u	1
sll0173_22	2	0h	u	1
Entry658_27	253	0h	u	1
sll1611_48	133	0h	u	1
Entry533_36	129	0h	u	1
hemK_19	188	0h	u	1
cpcC_13	329	0h	u	1
slr0196_4	284	0h	u	1
Entry1825_84	173	0h	u	1
Entry1124_73	1039	0h	u	1
Entry1842_7	1	0h	u	1
slr1384_81	1	0h	u	1
sll0688_22	496	0h	u	1
tar_27	1	0h	u	1
slr6084_25	2	0h	u	1
Entry186_48	374	0h	u	1
slr0114_8	153	0h	u	1
slr0073_37	206	0h	u	1
kdpA_41	148	0h	u	1
sll1673_59	222	0h	u	1
Entry190_2	134	0h	u	1
sll0280_19	201	0h	u	1
slr0589_98	1	0h	u	1
slr1045_146	1	0h	u	1
purE_55	194	0h	u	1
Entry827_0	67	0h	u	1
ilvN_42	257	0h	u	1
nifS_36	200	0h	u	1
Entry1699_41	252	0h	u	1
ssl2733_51	3	0h	u	1
psbD_290	1	0h	u	1
Entry1027_2	3	0h	u	1
sll0268_18	221	0h	u	1
sll0816_10	278	0h	u	1
Entry123_14	97	0h	u	1
slr1082_44	121	0h	u	1
Entry1516_45	1	0h	u	1
rps18_45	145	0h	u	1
ssr6032_73	122	0h	u	1
Entry1113_32	148	0h	u	1
apcD_31	374	0h	u	1
slr0686_17	81	0h	u	1
Entry773_65	387	0h	u	1
slr1771_52	101	0h	u	1
Entry1439_80	199	0h	u	1
sphX_35	132	0h	u	1
hlyB_10	155	0h	u	1
Entry1713_3	179	0h	u	1
sll5131_63	1378	0h	u	1
ssl0832_70	132	0h	u	1
slr0495_30	278	0h	u	1
slr6063_4	226	0h	u	1
Entry781_65	270	0h	u	1
cbiD_25	1	0h	u	1
Entry1893_69	1	0h	u	1
sll7065_55	210	0h	u	1
slr2044_12	342	0h	u	1
sll1950_14	36	0h	u	1
sll1783_144	2	0h	u	1
im30_14	44	0h	u	1
Entry2024_39	109	0h	u	1
pta_25	67	0h	u	1
hypB2_83	170	0h	u	1
ureG_12	246	0h	u	1
Entry793_3	135	0h	u	1
Entry398_46	120	0h	u	1
Entry1655_0	169	0h	u	1
hisC2_32	192	0h	u	1
slr1327_17	119	0h	u	1
gltS_26	1	0h	u	1
Entry778_9	107	0h	u	1
petF2_35	144	0h	u	1
smpB_233	353	0h	u	1
Entry225_55	85	0h	u	1
Entry12_77	151	0h	u	1
slr0583_44	91	0h	u	1
gidB_44	101	0h	u	1
Entry1085_23	273	0h	u	1
Entry1487_37	388	0h	u	1
slr0398_20	268	0h	u	1
sll1892_7	194	0h	u	1
slr1413_21	127	0h	u	1
Entry1614_2	2	0h	u	1
dnaN_43	307	0h	u	1
slr1362_60	234	0h	u	1
Entry1903_28	2	0h	u	1
slr0401_9	2	0h	u	1
sll0844_82	98	0h	u	1
Entry1094_35	421	0h	u	1
Entry1690_12	198	0h	u	1
ssr2201_27	157	0h	u	1
sll1930_211	8	0h	u	1
slr1470_35	164	0h	u	1
pepP_6	69	0h	u	1
Entry1866_48	148	0h	u	1
sll1586_43	338	0h	u	1
Entry140_45	276	0h	u	1
repA_55	266	0h	u	1
slr1724_22	81	0h	u	1
Entry611_41	449	0h	u	1
slr0092_69	301	0h	u	1
Entry605_1	123	0h	u	1
Entry1095_21	200	0h	u	1
Entry1008_37	55	0h	u	1
ssr5020_66	276	0h	u	1
Entry498_27	73	0h	u	1
slr0770_36	255	0h	u	1
slr7097_45	234	0h	u	1
Entry1310_22	194	0h	u	1
sll5122_43	120	0h	u	1
ssr1765_88	302	0h	u	1
slr0180_63	1378	0h	u	1
Entry465_32	273	0h	u	1
Entry40_104	4	0h	u	1
Entry1598_33	188	0h	u	1
menD_31	439	0h	u	1
Entry1454_8	57	0h	u	1
Entry523_101	139	0h	u	1
ssl7051_68	200	0h	u	1
slr1084_99	3	0h	u	1
Entry1169_72	68	0h	u	1
sll0301_61	198	0h	u	1
ssl2971_181	233	0h	u	1
nrtB_23	73	0h	u	1
lepB_22	178	0h	u	1
rpoDI_5	95	0h	u	1
sll6093_43	189	0h	u	1
gdh_59	166	0h	u	1
Entry699_121	119	0h	u	1
slr0605_178	494	0h	u	1
yfr2b_111	122	0h	u	1
slr1882_101	212	0h	u	1
ssr2803_58	129	0h	u	1
Entry254_40	111	0h	u	1
Entry975_90	116	0h	u	1
slr0488_6	245	0h	u	1
Entry975_96	316	0h	u	1
sll1489_33	36	0h	u	1
sll1714_31	61	0h	u	1
Entry56_56	45	0h	u	1
slr0915_81	426	0h	u	1
Entry885_63	3	0h	u	1
Entry166_53	142	0h	u	1
slr1177_4	73	0h	u	1
sll1571_19	180	0h	u	1
Entry1233_61	305	0h	u	1
sll1353_159	216	0h	u	1
sll1158_55	104	0h	u	1
slr1467_64	169	0h	u	1
Entry1456_15	91	0h	u	1
