Protein,Location,FRC 0.05,FRC 0.1,FRC 0.15,FRC 0.2,FRC 0.25
H16_A0093,Cytoplasm,5.626973727457151e-6,3.398584474111947e-5,4.231754581538842e-5,7.181057430680653e-5,5.616261186884757e-5
H16_A0095,Cytoplasm,3.4963576444517225e-5,5.853516018100351e-6,1.1151609526997323e-5,1.4948341092986907e-5,1.0499708214141861e-5
H16_A0096,Cell_membrane,9.287825467404826e-7,3.4755182375573125e-6,3.6466178524049532e-6,1.777811973840803e-6,3.834779395339004e-6
H16_A0097,Cytoplasm,9.153000377874308e-8,1.9403345459567254e-7,6.402462682773341e-7,1.7318417252122865e-7,4.838271369374012e-7
H16_A0101,Cytoplasm,1.9299259986917588e-07,7.480503360043418e-7,6.152437255492201e-7,1.4194733916400123e-7,2.7270702740417753e-6
H16_A0102,Cell_membrane,1.0526579189376885e-5,1.591058969547846e-5,3.1823921541308496e-6,9.796258728853906e-6,6.367305571970874e-6
H16_A0103,Cytoplasm,1.4001603819792691e-4,1.9484663982501546e-4,1.5377089442550684e-4,1.6769635410433334e-4,1.8108154609743226e-4
H16_A0104,Cytoplasm,1.5082857823020728e-6,1.8089511996272945e-6,2.9027572171455085e-6,3.7202545622311175e-6,4.160137740549747e-6
H16_A0105,Cytoplasm,3.14923837950914e-5,2.651738601211147e-5,1.3861901157936525e-5,4.491324328819668e-6,4.2221500350951075e-6
H16_A0106,Cytoplasm,0.001146240109602758,5.819177161122372e-4,5.764448204418116e-4,2.3211688881186803e-4,1.2498677934257826e-4
H16_A0107,Cytoplasm,2.676286436503648e-4,2.4143708687802626e-4,2.207041037981271e-4,1.7554268894997657e-4,1.451774848118366e-4
H16_A0108,Cytoplasm,2.840564748394779e-4,3.413426470366753e-4,3.0972457112740556e-4,3.588155968376779e-4,4.5939332673960304e-4
H16_A0109,Cytoplasm,4.761116996865841e-5,2.0056755996988338e-5,2.5122308427500873e-5,2.6159968702603177e-5,1.662381718424861e-5
H16_A0110,Cell_membrane,1.3847271675385576e-5,2.1661169426753773e-5,8.56206453627242e-6,1.6425888879362588e-4,2.268765662437873e-4
H16_A0111,Cytoplasm,1.0489819410662353e-4,1.233528391131103e-4,1.417398710357923e-4,1.7930359323626967e-4,1.6754762937367358e-4
H16_A0112,Cytoplasm,9.865395089403503e-5,6.442244385069004e-5,7.705682468317642e-5,6.917458281007021e-5,7.984886329416117e-5
