locusId	Essentiality	ClassicID
H16_RS12790	Unhit	H16_A2568
H16_RS12795	Unhit	H16_A2569
H16_RS12800	Unhit	H16_A2570
H16_RS12805	Uncertain	H16_A2571
H16_RS12900	Unhit	H16_A2591
H16_RS12910	Uncertain	NA
H16_RS12950	Uncertain	H16_A2601
H16_RS12990	Unhit	H16_A2609
H16_RS12995	Unhit	H16_A2610
H16_RS13000	Unhit	H16_A2611
H16_RS13035	Unhit	H16_A2618
H16_RS13080	Unhit	H16_A2627
H16_RS13085	Lowbar	H16_A2628
H16_RS13090	Unhit	H16_A2629
H16_RS13095	Unhit	H16_A2630
H16_RS13100	Unhit	H16_A2631
H16_RS13105	Unhit	H16_A2632
H16_RS13125	Lowbar	H16_A2636
H16_RS13275	Unhit	H16_A2667
H16_RS13285	Unhit	H16_A2669
H16_RS13325	Uncertain	H16_A2677
H16_RS13335	Uncertain	NA
H16_RS13350	Uncertain	H16_A2681
H16_RS13390	Lowbar	H16_A2689
H16_RS13460	Unhit	H16_A2703
H16_RS13465	Unhit	H16_A2704
H16_RS13490	Unhit	H16_A2709
H16_RS13500	Unhit	H16_A2711
H16_RS13565	Uncertain	H16_A2722
H16_RS13590	Unhit	H16_A2726
H16_RS13610	Unhit	H16_A2730
H16_RS13620	Unhit	H16_A2732
H16_RS13680	Unhit	H16_A2744
H16_RS13715	Unhit	H16_A2751
H16_RS13760	Uncertain	H16_A2760
H16_RS13805	Unhit	H16_A2769
H16_RS13880	Unhit	H16_A2784
H16_RS13970	Unhit	H16_A2802
H16_RS14070	Uncertain	NA
H16_RS14100	Lowbar	H16_A2830
H16_RS14105	Unhit	H16_A2831
H16_RS14110	Lowbar	H16_A2832
H16_RS14120	Unhit	H16_A2834
H16_RS14180	Lowbar	H16_A2846
H16_RS14190	Unhit	H16_A2848
H16_RS14195	Unhit	H16_A2849
H16_RS14200	Uncertain	H16_A2850
H16_RS14225	Unhit	H16_A2855
H16_RS14230	Unhit	H16_A2856
H16_RS14245	Lowbar	H16_A2859
H16_RS14295	Uncertain	NA
H16_RS14305	Lowbar	H16_A2871
H16_RS14365	Unhit	H16_A2883
H16_RS14500	Lowbar	H16_A2909
H16_RS14520	Lowbar	H16_A2913
H16_RS14530	Unhit	H16_A2915
H16_RS14555	Unhit	H16_A2920
H16_RS14580	Unhit	H16_A2925
H16_RS14605	Unhit	H16_A2930
H16_RS14630	Lowbar	H16_A2935
H16_RS14670	Unhit	H16_A2943
H16_RS14680	Unhit	H16_A2945
H16_RS14745	Unhit	H16_A2958
H16_RS14750	Unhit	H16_A2959
H16_RS14910	Unhit	H16_A2991
H16_RS14915	Unhit	H16_A2992
H16_RS14985	Uncertain	NA
H16_RS15080	Unhit	H16_A3025
H16_RS15125	Uncertain	H16_A3034
H16_RS15130	Uncertain	H16_A3035
H16_RS15150	Unhit	H16_A3039
H16_RS15180	Unhit	H16_A3045
H16_RS15185	Unhit	H16_A3046
H16_RS15190	Unhit	H16_A3047
H16_RS15195	Unhit	H16_A3048
H16_RS15200	Unhit	H16_A3049
H16_RS15260	Unhit	H16_A3061
H16_RS15270	Unhit	H16_A3063
H16_RS15275	Uncertain	H16_A3063
H16_RS15285	Uncertain	H16_A3065
H16_RS15290	Unhit	H16_A3066
H16_RS15310	Lowbar	H16_A3070
H16_RS15355	Unhit	H16_A3079
H16_RS15370	Unhit	H16_A3082
H16_RS15405	Unhit	H16_A3089
H16_RS15490	Unhit	H16_A3106
H16_RS15495	Unhit	H16_A3107
H16_RS15505	Uncertain	H16_A3108
H16_RS15540	Unhit	H16_A3115
H16_RS15545	Unhit	H16_A3116
H16_RS15590	Unhit	H16_A3124
H16_RS15600	Unhit	H16_A3126
H16_RS15610	Unhit	H16_A3128
H16_RS15645	Unhit	H16_A3135
H16_RS15655	Unhit	H16_A3137
H16_RS15660	Unhit	H16_A3138
H16_RS15665	Unhit	H16_A3138
H16_RS15670	Unhit	NA
H16_RS15675	Unhit	H16_A3141
H16_RS15680	Lowbar	H16_A3142
H16_RS15700	Unhit	H16_A3146
H16_RS15705	Unhit	H16_A3147
H16_RS15740	Unhit	H16_A3154
H16_RS15765	Unhit	H16_A3159
H16_RS15825	Unhit	H16_A3171
H16_RS15830	Unhit	H16_A3172
H16_RS34310	Uncertain	H16_A3180
H16_RS33715	Unhit	H16_A3218
H16_RS33725	Uncertain	H16_A3225
H16_RS33730	Uncertain	H16_A3225
H16_RS16110	Unhit	H16_A3234
H16_RS16115	Unhit	H16_A3235
H16_RS16145	Unhit	H16_A3241
H16_RS16170	Unhit	H16_A3246
H16_RS16195	Uncertain	H16_A3251
H16_RS16200	Unhit	H16_A3252
H16_RS16205	Unhit	H16_A3253
H16_RS16210	Uncertain	NA
H16_RS16235	Unhit	H16_A3258
H16_RS16270	Unhit	H16_A3264
H16_RS16280	Unhit	H16_A3266
H16_RS16290	Unhit	H16_A3268
H16_RS16295	Unhit	H16_A3269
H16_RS16300	Unhit	H16_A3270
H16_RS16305	Unhit	H16_A3271
H16_RS16310	Unhit	H16_A3272
H16_RS16315	Unhit	H16_A3273
H16_RS16320	Unhit	H16_A3274
H16_RS16325	Unhit	H16_A3275
H16_RS16330	Unhit	H16_A3276
H16_RS16335	Unhit	H16_A3277
H16_RS16340	Unhit	H16_A3278
H16_RS16345	Unhit	H16_A3279
H16_RS16350	Unhit	H16_A3280
H16_RS16355	Lowbar	H16_A3281
H16_RS16360	Lowbar	H16_A3282
H16_RS16365	Unhit	H16_A3283
H16_RS16460	Uncertain	NA
H16_RS16465	Uncertain	NA
H16_RS16470	Uncertain	NA
H16_RS16475	Uncertain	NA
H16_RS16480	Uncertain	NA
H16_RS16520	Unhit	H16_A3314
H16_RS16535	Unhit	H16_A3317
H16_RS16570	Unhit	H16_A3324
H16_RS16610	Unhit	H16_A3332
H16_RS16645	Unhit	H16_A3339
H16_RS16650	Unhit	H16_A3340
H16_RS16660	Unhit	H16_A3342
H16_RS16760	Uncertain	H16_A3361
H16_RS16920	Uncertain	H16_A3392
H16_RS16925	Uncertain	NA
H16_RS16935	Unhit	H16_A3395
H16_RS16970	Unhit	H16_A3402
H16_RS16975	Unhit	H16_A3403
H16_RS16980	Unhit	H16_A3404
H16_RS16985	Lowbar	H16_A3405
H16_RS17030	Unhit	H16_A3414
H16_RS17050	Unhit	H16_A3418
H16_RS17165	Unhit	H16_A3441
H16_RS17170	Unhit	H16_A3442
H16_RS34365	Uncertain	H16_A3442
H16_RS17175	Unhit	H16_A3443
H16_RS17210	Lowbar	H16_A3450
H16_RS17225	Unhit	H16_A3453
H16_RS17235	Unhit	H16_A3455
H16_RS17250	Unhit	H16_A3458
H16_RS17255	Unhit	H16_A3459
H16_RS17260	Unhit	H16_A3460
H16_RS17265	Unhit	H16_A3461
H16_RS17270	Uncertain	H16_A3462
H16_RS17275	Uncertain	H16_A3463
H16_RS17280	Unhit	H16_A3464
H16_RS17285	Unhit	H16_A3465
H16_RS17290	Uncertain	H16_A3466
H16_RS17295	Unhit	H16_A3467
H16_RS17300	Unhit	H16_A3468
H16_RS17305	Unhit	H16_A3469
H16_RS17310	Unhit	H16_A3470
H16_RS17315	Unhit	H16_A3471
H16_RS17320	Unhit	H16_A3472
H16_RS17325	Unhit	H16_A3473
H16_RS17330	Unhit	H16_A3474
H16_RS17335	Uncertain	H16_A3475
H16_RS17340	Uncertain	H16_A3476
H16_RS17345	Unhit	H16_A3477
H16_RS17350	Lowbar	H16_A3478
H16_RS17355	Unhit	H16_A3479
H16_RS17360	Uncertain	H16_A3480
H16_RS17365	Unhit	H16_A3481
H16_RS17370	Unhit	H16_A3482
H16_RS17375	Unhit	H16_A3483
H16_RS17380	Unhit	H16_A3484
H16_RS17410	Unhit	H16_A3490
H16_RS17415	Unhit	H16_A3491
H16_RS17420	Unhit	H16_A3492
H16_RS17425	Unhit	H16_A3493
H16_RS17430	Unhit	H16_A3494
H16_RS17440	Unhit	H16_A3496
H16_RS17445	Unhit	H16_A3497
H16_RS17450	Unhit	H16_A3498
H16_RS17455	Unhit	H16_A3499
H16_RS17460	Unhit	H16_A3500
H16_RS17465	Unhit	H16_A3501
H16_RS17470	Unhit	H16_A3502
H16_RS17475	Unhit	H16_A3503
H16_RS17480	Uncertain	NA
H16_RS17485	Unhit	NA
H16_RS17490	Uncertain	NA
H16_RS17495	Uncertain	NA
H16_RS17500	Uncertain	NA
H16_RS17505	Uncertain	NA
H16_RS17510	Uncertain	NA
H16_RS17515	Uncertain	NA
H16_RS17520	Uncertain	NA
H16_RS17525	Uncertain	NA
H16_RS17615	Lowbar	H16_A3531
H16_RS17735	Unhit	H16_A3555
H16_RS18035	Uncertain	NA
H16_RS18055	Uncertain	NA
