gene,model,barseq
H16_A2460,0,0
H16_B0663,0,0
H16_A0893,0,0
H16_B0034,0,0
H16_B0572,0,0
H16_B1417,0,1
H16_B0831,0,0
H16_B2561,0,0
H16_A1256,0,0
H16_A3170,0,0
H16_B0465,0,1
H16_A2030,0,1
H16_A0548,0,0
H16_A0547,0,0
H16_A1214,0,1
H16_B0874,0,0
H16_B0428,0,0
H16_A1475,0,1
H16_B2057,0,0
H16_B1179,0,0
H16_B1537,0,0
H16_B0982,0,0
H16_A3186,0,0
H16_B0699,0,0
H16_A2149,0,0
H16_A2808,0,0
H16_B0675,0,1
H16_A2143,0,0
H16_A3263,0,0
H16_A1113,0,0
H16_A2815,0,0
H16_A2183,0,0
H16_A2182,0,0
H16_B0591,0,0
H16_A1616,0,0
H16_B0834,0,1
H16_B1102,0,0
H16_A2525,0,1
H16_B0386,0,0
H16_B0696,0,0
H16_B0103,0,0
H16_A2528,0,0
H16_B0488,0,0
H16_B0355,0,0
H16_B0367,0,0
H16_B0847,0,0
H16_B0656,0,0
H16_B0914,0,0
H16_B0655,0,1
H16_A1051,0,1
H16_A1052,0,1
H16_A1053,0,1
H16_A1062,0,1
H16_A1050,0,1
H16_A1056,0,1
H16_A1059,0,1
H16_A1061,0,1
H16_A1054,0,1
H16_A1060,0,0
H16_A0251,0,0
H16_A1055,0,1
H16_A1063,0,1
H16_A1057,0,1
H16_A1058,0,1
H16_A3631,0,0
H16_A3048,1,1
H16_A0515,0,1
H16_A0734,0,1
H16_A3129,1,0
H16_A2961,0,0
H16_A1221,0,1
H16_B0460,0,0
H16_B1817,0,1
H16_A2043,1,1
H16_B0542,0,0
H16_B0544,0,0
H16_B0541,0,1
H16_B0539,0,0
H16_B0540,0,0
H16_B0543,0,1
H16_A2818,0,0
H16_A1906,0,0
H16_A2636,0,1
H16_A0914,0,1
H16_A2368,1,1
H16_A3249,0,0
H16_A0125,0,0
H16_B1758,0,0
H16_A1216,1,1
H16_A0689,0,0
H16_A1394,0,0
H16_A3673,0,0
H16_B1881,0,0
H16_B1695,0,0
H16_A3094,0,0
H16_A3097,0,0
H16_A3096,0,0
H16_A2069,1,1
H16_A2751,0,1
H16_A3622,0,0
H16_A3283,0,1
H16_A1437,0,0
H16_A2003,0,0
H16_A2630,0,1
H16_A2632,0,1
H16_A2631,0,1
H16_A2629,0,1
H16_B0204,0,0
H16_A0324,0,1
H16_B1693,0,0
H16_A2802,1,1
H16_A3418,1,1
H16_A1339,0,1
H16_B1631,0,0
H16_B1871,0,0
H16_A2905,0,0
H16_A1854,0,0
H16_A1239,0,0
H16_A1562,0,0
H16_B1657,0,0
H16_B1190,0,0
H16_B1750,0,0
H16_A2066,1,1
H16_A1258,0,0
H16_B0965,0,0
H16_A1259,0,1
H16_A2733,1,0
H16_A0197,0,0
H16_A1848,0,0
H16_A2906,0,0
H16_A2390,0,0
H16_A3235,1,1
H16_A3234,1,1
H16_A2142,0,0
H16_A1251,0,0
H16_A0561,0,0
H16_A0263,1,1
H16_A1656,0,0
H16_A1125,0,0
H16_A2752,1,0
H16_A3700,0,0
H16_A0177,0,0
H16_A1973,0,1
H16_A2144,0,0
H16_A0746,0,1
H16_A2345,0,1
H16_A3015,0,0
H16_A3317,0,1
H16_B1391,0,1
H16_A1509,0,0
H16_A0112,0,1
H16_A0111,0,1
H16_A0108,0,1
H16_A1882,0,0
H16_B0371,0,0
H16_B0372,0,0
H16_A1779,0,0
H16_A2592,0,0
H16_A0753,0,1
H16_A1199,0,0
H16_B1422,0,0
H16_B1092,0,0
H16_A0803,1,0
H16_A1907,0,0
H16_B0198,0,0
H16_B0199,0,0
H16_B2096,0,0
H16_B1967,0,0
H16_A3014,0,0
H16_A3337,0,0
H16_A3371,0,0
H16_B1897,0,0
H16_A1017,0,0
H16_B1898,0,0
H16_A1016,0,0
H16_A3277,1,1
H16_A0445,1,1
H16_B2460,0,0
H16_A2606,0,0
H16_A2113,0,0
H16_B0143,0,0
H16_A1132,0,1
H16_A2913,0,1
H16_A2521,1,0
H16_A0791,1,1
H16_B0337,0,0
H16_A0220,0,0
H16_A0520,0,1
H16_B0594,0,0
H16_A0168,0,0
H16_B1063,0,0
H16_A1934,0,0
H16_A3348,0,0
H16_A3141,0,1
H16_B0324,0,0
H16_B1670,0,0
H16_B0819,0,0
H16_A3075,0,0
H16_A0068,0,0
H16_A1527,0,0
H16_A1715,0,1
H16_B1719,0,0
H16_B1769,0,1
H16_A1322,0,0
H16_B0884,0,0
H16_B0597,0,0
H16_B0548,0,0
H16_A3063,0,1
H16_A2376,0,0
H16_B1746,0,0
H16_A1791,0,1
H16_A0827,0,0
H16_B0376,0,0
H16_A1809,0,0
H16_A0674,0,0
H16_A0244,1,0
H16_A3236,0,0
H16_A0597,0,0
H16_A0570,0,1
H16_A0571,0,0
H16_A1013,0,0
H16_A1447,0,0
H16_A0395,0,0
H16_A0523,0,1
H16_A0521,0,1
H16_A1549,0,0
H16_B2276,0,0
H16_A1550,0,1
H16_A2620,0,0
H16_A1236,0,0
H16_B0052,0,0
H16_A2621,0,0
H16_B2275,0,0
H16_B0051,0,0
H16_A1237,0,0
H16_B2566,0,0
H16_B1501,0,0
H16_A0316,0,0
H16_A1963,0,1
H16_A1962,0,1
H16_A1961,0,0
H16_A2761,0,0
H16_A0143,0,0
H16_B0330,0,0
H16_A1864,0,0
H16_A2618,0,1
H16_B0517,0,0
H16_B2470,0,0
H16_B1834,0,0
H16_A0757,0,0
H16_B1699,0,0
H16_B1745,0,0
H16_A3330,0,0
H16_B1433,0,0
H16_A2422,0,0
H16_B2289,0,0
H16_B1931,0,0
H16_A3056,0,0
H16_A3322,0,0
H16_A0782,0,0
H16_B1195,0,0
H16_B0208,0,0
H16_B1559,0,0
H16_A3633,0,1
H16_A3161,1,0
H16_B1581,0,0
H16_A0606,1,1
H16_B0538,0,0
H16_B0187,0,0
H16_B2575,0,0
H16_A2683,0,0
H16_A2943,0,1
H16_A3646,0,0
H16_B1571,0,0
H16_A1282,0,0
H16_B1613,0,0
H16_A0711,0,0
H16_A0983,0,0
H16_A1118,0,0
H16_A0728,0,0
H16_A0260,0,0
H16_B2325,0,0
H16_A0917,0,0
H16_A2322,0,0
H16_A3452,0,0
H16_B0193,0,0
H16_B2032,0,0
H16_A2711,0,1
H16_A3617,0,0
H16_A3250,0,0
H16_A1904,0,0
H16_B0778,0,0
H16_B0777,0,0
H16_B0948,0,0
H16_B0779,0,0
H16_A2921,0,0
H16_A3325,0,0
H16_A3025,0,1
H16_A2065,0,0
H16_A1122,0,0
H16_B1076,0,0
H16_A2925,0,1
H16_A3123,0,0
H16_A1139,0,0
H16_A2647,0,0
H16_A1603,0,0
H16_A2204,0,0
H16_A2643,0,0
H16_A2964,0,0
H16_A2963,0,0
H16_A3598,0,0
H16_A3435,0,0
H16_A2930,0,1
H16_A1649,0,0
H16_A0787,0,1
H16_A2968,0,0
H16_A3258,1,1
H16_A0948,0,0
H16_A3046,0,1
H16_A2962,0,0
H16_A1905,0,0
H16_A2038,0,0
